AAPL (Apple Inc.),202.63,-9.82
Aug 25 2019 @ 10:55 ET,Bid,201.6,Ask,201.84,Size,2x1,Vol,46882843
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
08/30/2019,AAPL190830C00237500,0.02,0,0,0.57,0,0.6903,0.0405,0.0049,1092,237.500,AAPL190830P00237500,24.85,0,32.7,37,0,0.05,-1,0,0
08/30/2019,AAPL190830C00240000,0.14,0,0,0.01,20,0.4463,0.0017,0.0005,948,240.000,AAPL190830P00240000,0,0,35.2,39.5,0,0.05,-1,0,0
08/30/2019,AAPL190830C00242500,0.03,0.025,0,0.01,35,0.4715,0.0017,0.0004,723,242.500,AAPL190830P00242500,24.95,0,37.7,42,0,0.05,-1,0,0
08/30/2019,AAPL190830C00245000,0.02,0,0,0.01,1,0.4861,0.0013,0.0003,716,245.000,AAPL190830P00245000,0,0,40.2,44.35,0,0,-1,0,0
08/30/2019,AAPL190830C00247500,0.02,0,0,0.56,0,0.8295,0.0342,0.0035,15,247.500,AAPL190830P00247500,0,0,42.7,46.85,0,0,-1,0,0
08/30/2019,AAPL190830C00250000,0.01,0,0,0.06,15,0.6384,0.0059,0.001,1327,250.000,AAPL190830P00250000,38.3,0,45.2,49.5,0,0.05,-1,0,0
09/06/2019,AAPL190906C00130000,0,0,70.7,74.95,0,1.0059,0.9926,0.0005,0,130.000,AAPL190906P00130000,0.03,0.02,0,0.1,341,0.9271,-0.0043,0.0004,586
09/06/2019,AAPL190906C00135000,0,0,65.7,69.95,0,0.9229,0.9923,0.0006,0,135.000,AAPL190906P00135000,0.05,0.035,0,0.16,1,0.9054,-0.0068,0.0006,3
09/06/2019,AAPL190906C00140000,63.05,-9.875,60.7,64.95,8,0.8426,0.992,0.0007,0,140.000,AAPL190906P00140000,0.07,0.055,0.02,0.12,2,0.8147,-0.0065,0.0006,22
09/06/2019,AAPL190906C00145000,67.95,0,55.7,60,0,0.7949,0.9895,0.0009,52,145.000,AAPL190906P00145000,0.09,0.07,0,0.2,3,0.7792,-0.0093,0.0008,95
09/06/2019,AAPL190906C00150000,52.46,-10.49,50.75,55.05,25,0.7593,0.9852,0.0013,3,150.000,AAPL190906P00150000,0.11,0.09,0.04,0.17,91,0.7178,-0.0109,0.001,1561
09/06/2019,AAPL190906C00152500,0,0,48.25,52.55,0,0.7214,0.9846,0.0014,0,152.500,AAPL190906P00152500,0.16,0.14,0.06,0.26,5,0.7228,-0.0155,0.0014,418
09/06/2019,AAPL190906C00155000,54.85,0,45.8,50.1,0,0.7141,0.9803,0.0017,1,155.000,AAPL190906P00155000,0.15,0.125,0.07,0.22,47,0.6768,-0.0151,0.0015,716
09/06/2019,AAPL190906C00157500,38.75,0,43.3,47.6,0,0.6763,0.9795,0.0019,0,157.500,AAPL190906P00157500,0.22,0.19,0.07,0.22,13,0.6413,-0.0159,0.0016,84
09/06/2019,AAPL190906C00160000,36.4,0,40.85,45.15,0,0.6627,0.9748,0.0023,0,160.000,AAPL190906P00160000,0.21,0.17,0.08,0.29,52,0.6299,-0.0201,0.002,790
09/06/2019,AAPL190906C00162500,0,0,38.4,42.7,0,0.645,0.9699,0.0028,0,162.500,AAPL190906P00162500,0.28,0.23,0.08,0.33,32,0.6034,-0.0227,0.0023,19
09/06/2019,AAPL190906C00165000,0,0,36,40.25,0,0.6326,0.963,0.0033,0,165.000,AAPL190906P00165000,0.27,0.21,0.1,0.39,593,0.5861,-0.0275,0.0028,441
09/06/2019,AAPL190906C00167500,0,0,33.5,37.8,0,0.6012,0.9591,0.0038,0,167.500,AAPL190906P00167500,0.34,0.27,0.11,0.39,52,0.551,-0.0294,0.0032,47
09/06/2019,AAPL190906C00170000,36.55,0,31.05,35.35,0,0.576,0.9531,0.0044,8,170.000,AAPL190906P00170000,0.38,0.295,0.29,0.42,351,0.5499,-0.04,0.0041,1112
09/06/2019,AAPL190906C00172500,0,0,28.6,32.9,0,0.5489,0.9465,0.0052,0,172.500,AAPL190906P00172500,0.44,0.34,0.37,0.55,146,0.5408,-0.051,0.0051,268
09/06/2019,AAPL190906C00175000,38.5,0,26.35,30.5,0,0.5461,0.9306,0.0064,16,175.000,AAPL190906P00175000,0.48,0.36,0.42,0.65,908,0.5185,-0.0601,0.006,804
09/06/2019,AAPL190906C00177500,29.2,0,24.25,28.1,0,0.5473,0.9099,0.0078,47,177.500,AAPL190906P00177500,0.57,0.425,0.29,1.14,187,0.5136,-0.0776,0.0074,223
09/06/2019,AAPL190906C00180000,31.94,0,21.4,25.7,0,0.4841,0.9114,0.0087,48,180.000,AAPL190906P00180000,0.78,0.61,0.72,0.78,412,0.4779,-0.086,0.0086,787
09/06/2019,AAPL190906C00182500,31.5,0,19.65,21.9,0,0.3951,0.9265,0.0092,36,182.500,AAPL190906P00182500,0.9,0.69,0.54,1.05,128,0.4431,-0.0966,0.0101,463
09/06/2019,AAPL190906C00185000,20.1,-8.1,16.75,21.05,202,0.4452,0.8715,0.0123,135,185.000,AAPL190906P00185000,1.13,0.88,0.74,1.12,919,0.4188,-0.1151,0.0121,1511
09/06/2019,AAPL190906C00187500,18,-7.75,16.3,18.8,3,0.5178,0.8024,0.014,103,187.500,AAPL190906P00187500,1.4,1.105,0.75,1.53,193,0.3997,-0.141,0.0146,1314
09/06/2019,AAPL190906C00190000,14.2,-9.1,14.2,16.5,145,0.4903,0.7732,0.0161,135,190.000,AAPL190906P00190000,1.74,1.385,1.28,1.79,3626,0.3941,-0.1809,0.0175,2060
09/06/2019,AAPL190906C00192500,12.25,-8.625,11.1,13.65,136,0.3943,0.7691,0.0202,168,192.500,AAPL190906P00192500,2.04,1.605,1.73,2.35,595,0.3887,-0.228,0.0203,1015
09/06/2019,AAPL190906C00195000,10.3,-8.2,9.25,11.55,171,0.3801,0.7194,0.0232,671,195.000,AAPL190906P00195000,2.6,2.07,2.44,2.65,2173,0.3738,-0.2778,0.0234,1721
09/06/2019,AAPL190906C00197500,8.54,-7.61,7.5,9.75,173,0.3715,0.6595,0.0258,393,197.500,AAPL190906P00197500,3.2,2.525,2.87,4.15,1509,0.3829,-0.3442,0.0251,1115
09/06/2019,AAPL190906C00200000,6.75,-7.125,6.65,7.25,553,0.3596,0.5937,0.0282,757,200.000,AAPL190906P00200000,4.16,3.275,3.7,5.05,4489,0.3731,-0.4086,0.0272,3633
09/06/2019,AAPL190906C00202500,5.3,-6.375,5.2,5.65,643,0.3466,0.5214,0.03,388,202.500,AAPL190906P00202500,5.15,3.975,4.85,5.2,3013,0.3384,-0.4787,0.0308,1112
09/06/2019,AAPL190906C00205000,4.2,-5.375,3.75,4.2,3791,0.3264,0.442,0.0316,4437,205.000,AAPL190906P00205000,6.4,4.815,5.55,7.4,3845,0.3446,-0.5537,0.03,1317
09/06/2019,AAPL190906C00207500,3,-4.65,2.5,3.15,3073,0.3123,0.3591,0.0313,1341,207.500,AAPL190906P00207500,7.8,5.655,7.3,7.9,1977,0.316,-0.6391,0.031,4016
09/06/2019,AAPL190906C00210000,2.1,-3.8,2,2.2,6933,0.3144,0.2878,0.0284,3280,210.000,AAPL190906P00210000,9.4,6.505,8.85,11.05,2709,0.3613,-0.684,0.0257,2450
09/06/2019,AAPL190906C00212500,1.39,-2.96,1.3,1.51,2809,0.3051,0.2165,0.0251,2863,212.500,AAPL190906P00212500,11.51,7.66,9.2,12.95,1061,0.2999,-0.7878,0.0253,1140
09/06/2019,AAPL190906C00215000,0.93,-2.12,0.94,1.12,7411,0.3113,0.1669,0.021,4277,215.000,AAPL190906P00215000,13.65,8.6,11.8,14.15,381,0.279,-0.8609,0.0208,731
09/06/2019,AAPL190906C00217500,0.58,-1.43,0.55,0.66,963,0.2984,0.112,0.0167,1248,217.500,AAPL190906P00217500,15.42,8.895,13.35,15.65,63,0,-1,0,88
09/06/2019,AAPL190906C00220000,0.42,-0.825,0.31,0.52,3427,0.3022,0.0808,0.0129,14758,220.000,AAPL190906P00220000,17.1,8.85,15.5,19.35,57,0.2526,-0.9541,0.01,393
09/06/2019,AAPL190906C00222500,0.21,-0.525,0.13,0.33,218,0.2935,0.0497,0.0091,840,222.500,AAPL190906P00222500,19.71,9.435,18.25,22.15,22,0.3441,-0.9187,0.0114,101
09/06/2019,AAPL190906C00225000,0.18,-0.23,0.12,0.18,874,0.2981,0.0344,0.0067,2124,225.000,AAPL190906P00225000,16.85,4.35,20.5,24.6,6,0.3471,-0.9399,0.009,209
09/06/2019,AAPL190906C00227500,0.12,-0.11,0.12,0.14,278,0.3154,0.0286,0.0054,868,227.500,AAPL190906P00227500,16.6,0,22.75,27.05,0,0.3388,-0.9613,0.0065,39
09/06/2019,AAPL190906C00230000,0.06,-0.08,0.05,0.08,225,0.3057,0.0156,0.0034,664,230.000,AAPL190906P00230000,26.1,8.875,25.7,29.5,2,0.4177,-0.9404,0.0074,1
09/06/2019,AAPL190906C00232500,0.05,-0.035,0.03,0.08,692,0.3214,0.0131,0.0027,526,232.500,AAPL190906P00232500,20.45,0,27.7,32,0,0.05,-1,0,4
09/06/2019,AAPL190906C00235000,0.04,-0.01,0.02,0.05,112,0.3219,0.0083,0.0018,255,235.000,AAPL190906P00235000,18.05,0,30.2,34.35,0,0.05,-1,0,0
09/06/2019,AAPL190906C00237500,0.03,-0.005,0.02,0.07,3,0.3548,0.01,0.002,154,237.500,AAPL190906P00237500,0,0,32.7,36.85,0,0.05,-1,0,0
09/06/2019,AAPL190906C00240000,0.05,0.025,0,0.85,3,0.5315,0.0516,0.0052,130,240.000,AAPL190906P00240000,0,0,35.2,39.35,0,0.05,-1,0,0
09/06/2019,AAPL190906C00242500,0.02,0,0,0.14,1,0.4176,0.0129,0.0021,99,242.500,AAPL190906P00242500,0,0,37.7,42,0,0.05,-1,0,0
09/06/2019,AAPL190906C00245000,0.02,0,0,0.04,0,0.3769,0.0044,0.0009,62,245.000,AAPL190906P00245000,0,0,40.2,44.35,0,0.05,-1,0,0
09/06/2019,AAPL190906C00247500,0.04,0,0,0.08,0,0.4249,0.0073,0.0012,31,247.500,AAPL190906P00247500,0,0,42.7,47,0,0.05,-1,0,0
09/06/2019,AAPL190906C00250000,0.01,0,0,0.08,0,0.4463,0.0073,0.0012,199,250.000,AAPL190906P00250000,0,0,45.2,49.5,0,0.05,-1,0,0
09/06/2019,AAPL190906C00255000,0.03,0,0,0.83,0,0.6756,0.0416,0.0034,22,255.000,AAPL190906P00255000,0,0,50.2,54.35,0,0.05,-1,0,0
09/06/2019,AAPL190906C00260000,0.02,0,0,0.83,0,0.7205,0.0393,0.0031,25,260.000,AAPL190906P00260000,0,0,55.2,59.5,0,0.05,-1,0,0
09/13/2019,AAPL190913C00130000,73.4,-9.575,70.7,75,32,1.2532,0.9491,0.0017,30,130.000,AAPL190913P00130000,0.01,0,0,0.14,0,0.7743,-0.0056,0.0004,24
09/13/2019,AAPL190913C00135000,67.85,-10.125,65.75,70,52,1.1346,0.9493,0.0019,0,135.000,AAPL190913P00135000,0.04,0.03,0,0.14,19,0.7123,-0.006,0.0005,35
09/13/2019,AAPL190913C00140000,0,0,60.75,65.05,0,1.0245,0.9492,0.0021,0,140.000,AAPL190913P00140000,0.04,0,0.02,0.31,1,0.7345,-0.0128,0.001,24
09/13/2019,AAPL190913C00145000,0,0,55.8,60.1,0,0.9278,0.9479,0.0023,0,145.000,AAPL190913P00145000,0.03,0,0.02,0.22,0,0.6425,-0.0109,0.0009,13
09/13/2019,AAPL190913C00150000,0,0,50.85,55.15,0,0.8376,0.946,0.0027,0,150.000,AAPL190913P00150000,0.1,0.055,0.09,0.26,1,0.6167,-0.0158,0.0014,132
09/13/2019,AAPL190913C00152500,49.45,0,48.7,52.7,0,0.8248,0.939,0.003,12,152.500,AAPL190913P00152500,0.05,0,0,0.26,0,0.5627,-0.0133,0.0013,26
09/13/2019,AAPL190913C00155000,0,0,45.95,50.2,0,0.758,0.9424,0.0031,0,155.000,AAPL190913P00155000,0.35,0,0.11,0.37,0,0.5878,-0.0223,0.0019,97
09/13/2019,AAPL190913C00157500,0,0,43.5,47.75,0,0.7225,0.9396,0.0034,0,157.500,AAPL190913P00157500,0.25,0.175,0.13,0.81,92,0.6279,-0.0374,0.0027,83
09/13/2019,AAPL190913C00160000,0,0,41.05,45.3,0,0.6878,0.9363,0.0037,0,160.000,AAPL190913P00160000,0.41,0.325,0.1,0.44,9,0.5365,-0.0264,0.0024,60
09/13/2019,AAPL190913C00162500,0,0,38.6,42.85,0,0.6541,0.9326,0.0041,0,162.500,AAPL190913P00162500,0.31,0.205,0.26,0.49,72,0.5381,-0.0353,0.003,28
09/13/2019,AAPL190913C00165000,0,0,36.15,40.45,0,0.6248,0.9273,0.0046,0,165.000,AAPL190913P00165000,0.38,0.255,0.19,0.54,38,0.5043,-0.0366,0.0033,213
09/13/2019,AAPL190913C00167500,39.25,0,33.7,38,0,0.5922,0.9224,0.0051,5,167.500,AAPL190913P00167500,0.5,0.35,0.01,0.64,138,0.4633,-0.0358,0.0036,58
09/13/2019,AAPL190913C00170000,32.9,0,31.3,35.6,0,0.5667,0.9146,0.0057,4,170.000,AAPL190913P00170000,0.55,0.38,0.49,0.72,96,0.4923,-0.0578,0.005,765
09/13/2019,AAPL190913C00172500,31.5,-9.225,28.9,33.2,1,0.5412,0.9056,0.0064,0,172.500,AAPL190913P00172500,0.68,0.48,0.57,0.82,60,0.4745,-0.0672,0.0058,195
09/13/2019,AAPL190913C00175000,36.6,0,26.5,30.8,0,0.5147,0.8957,0.0073,6,175.000,AAPL190913P00175000,0.73,0.495,0.69,0.92,20,0.4572,-0.0786,0.0068,362
09/13/2019,AAPL190913C00177500,20.4,0,24.15,28.45,0,0.4929,0.8823,0.0083,10,177.500,AAPL190913P00177500,0.88,0.605,0.81,1.09,4,0.4417,-0.0929,0.0079,241
09/13/2019,AAPL190913C00180000,23.6,0,22.2,26.1,6,0.489,0.8587,0.0095,65,180.000,AAPL190913P00180000,1.2,0.9,0.76,1.26,252,0.4137,-0.1035,0.0092,680
09/13/2019,AAPL190913C00182500,29.1,0,21.4,23.35,0,0.5111,0.8209,0.0107,23,182.500,AAPL190913P00182500,1.2,0.82,0.98,1.49,2043,0.4017,-0.1251,0.0108,324
09/13/2019,AAPL190913C00185000,22.71,0,18.9,21.6,0,0.4967,0.7956,0.0119,110,185.000,AAPL190913P00185000,1.6,1.15,1.45,1.65,114,0.3936,-0.1529,0.0126,1339
09/13/2019,AAPL190913C00187500,24.6,0,17,19.45,0,0.4854,0.7659,0.0132,30,187.500,AAPL190913P00187500,1.66,1.13,1.78,2.1,85,0.3858,-0.1855,0.0146,1266
09/13/2019,AAPL190913C00190000,15.1,-8.575,13.1,17.35,25,0.4047,0.7613,0.016,165,190.000,AAPL190913P00190000,2.3,1.67,1.96,3.15,374,0.3881,-0.2284,0.0164,718
09/13/2019,AAPL190913C00192500,13.05,-8.275,11.5,14.85,35,0.3874,0.7241,0.0181,47,192.500,AAPL190913P00192500,2.72,1.96,2.45,3.85,587,0.3813,-0.2711,0.0183,413
09/13/2019,AAPL190913C00195000,11.75,-7.25,10.1,12.75,385,0.3829,0.6764,0.0197,341,195.000,AAPL190913P00195000,3.5,2.565,3.05,4.95,569,0.3832,-0.3216,0.0197,1066
09/13/2019,AAPL190913C00197500,9.55,-7.225,9.2,11,37,0.3953,0.6213,0.0202,327,197.500,AAPL190913P00197500,4.3,3.125,3.8,5.2,350,0.3577,-0.3677,0.0222,1181
09/13/2019,AAPL190913C00200000,7.65,-6.9,7.55,9.2,486,0.3778,0.5704,0.0219,575,200.000,AAPL190913P00200000,5.1,3.61,4.65,6.9,871,0.3687,-0.4266,0.0224,2344
09/13/2019,AAPL190913C00202500,6.45,-6.025,6.15,6.6,327,0.3393,0.5129,0.0247,513,202.500,AAPL190913P00202500,6.08,4.19,5.65,7.25,818,0.3395,-0.485,0.0247,1992
09/13/2019,AAPL190913C00205000,5.2,-5.3,4.85,5.5,1455,0.3355,0.4506,0.0248,514,205.000,AAPL190913P00205000,7.5,5.085,7.1,7.95,885,0.3238,-0.5501,0.0257,917
09/13/2019,AAPL190913C00207500,4.02,-4.63,3.75,4.2,664,0.3232,0.3853,0.0249,430,207.500,AAPL190913P00207500,8.4,5.35,6.4,10.45,212,0.2889,-0.6288,0.0275,349
09/13/2019,AAPL190913C00210000,3,-3.95,2.7,3.85,2418,0.3302,0.3305,0.0231,1641,210.000,AAPL190913P00210000,10.05,6.175,7.95,12.05,525,0.2804,-0.6993,0.026,866
09/13/2019,AAPL190913C00212500,2.17,-3.28,2.13,3.1,1423,0.3323,0.2786,0.0213,1493,212.500,AAPL190913P00212500,12.1,7.25,9.75,13.65,127,0.2681,-0.7694,0.0238,256
09/13/2019,AAPL190913C00215000,1.56,-2.59,1.53,1.8,3501,0.3058,0.2097,0.0198,2724,215.000,AAPL190913P00215000,12.88,6.83,11.55,15.65,145,0.2567,-0.8329,0.0204,204
09/13/2019,AAPL190913C00217500,1.11,-1.915,0.05,1.88,1690,0.2811,0.1446,0.017,2245,217.500,AAPL190913P00217500,14.75,7.3,13.55,17.8,32,0.2464,-0.8861,0.0163,270
09/13/2019,AAPL190913C00220000,0.77,-1.365,0.65,1.47,1630,0.32,0.1412,0.0147,1429,220.000,AAPL190913P00220000,17.6,8.55,15.8,19.5,198,0.1849,-0.9693,0.0074,173
09/13/2019,AAPL190913C00222500,0.49,-0.95,0.48,0.55,244,0.2872,0.0848,0.0114,794,222.500,AAPL190913P00222500,12.7,1.825,18.05,22.05,1,0,-1,0.0106,175
09/13/2019,AAPL190913C00225000,0.35,-0.59,0.32,0.88,254,0.3239,0.0873,0.0103,645,225.000,AAPL190913P00225000,20.75,7.85,20.4,24.7,103,0,-1,0.0093,60
09/13/2019,AAPL190913C00227500,0.23,-0.38,0.21,0.34,63,0.2947,0.0486,0.0072,506,227.500,AAPL190913P00227500,14.96,0,22.8,27.1,0,0,-0.9526,0.0072,26
09/13/2019,AAPL190913C00230000,0.18,-0.205,0.1,0.55,1113,0.3269,0.0514,0.0068,1664,230.000,AAPL190913P00230000,17.65,0,25.25,29.55,0,0,-0.9612,0.0059,17
09/13/2019,AAPL190913C00232500,0.1,-0.135,0.1,0.22,985,0.3069,0.0292,0.0046,420,232.500,AAPL190913P00232500,0,0,27.75,32,0,0,-0.9661,0.005,0
09/13/2019,AAPL190913C00235000,0.09,-0.07,0,0.15,166,0.2915,0.0157,0.0028,125,235.000,AAPL190913P00235000,21.95,0,30.2,34.5,0,0,-0.9443,0.0062,0
09/13/2019,AAPL190913C00237500,0.06,-0.05,0.05,0.06,46,0.2967,0.0117,0.0022,37,237.500,AAPL190913P00237500,0,0,32.7,37,0,0,-0.9995,0,0
09/13/2019,AAPL190913C00240000,0.04,-0.035,0,0.08,128,0.3002,0.0085,0.0016,254,240.000,AAPL190913P00240000,29.2,0,35.2,39.5,0,0,-1,0,0
09/13/2019,AAPL190913C00242500,0.04,-0.015,0,0.04,26,0.2928,0.0047,0.001,14,242.500,AAPL190913P00242500,0,0,37.7,42,0,0,-0.9408,0.0053,0
09/13/2019,AAPL190913C00245000,0.02,-0.02,0,0.13,5,0.3531,0.0117,0.0018,37,245.000,AAPL190913P00245000,0,0,40.2,44.5,0,0,-0.9995,0,0
